SP500,GOLD,IYR,port_er,port_std,sharpe
0.0,0.01,0.99,0.045093915334511604,0.19824634319082082,0.2274640460384519
0.0,0.02,0.98,0.04491171862085172,0.1963538571586507,0.22872847659195097
0.0,0.03,0.97,0.04472952190719182,0.19447440891417864,0.2300020972267406
0.0,0.04,0.96,0.044547325193531925,0.1926083801210394,0.2312844600299187
0.0,0.05,0.95,0.04436512847987204,0.1907561645978308,0.2325750707632782
0.0,0.06,0.94,0.044182931766212144,0.18891816863444053,0.23387338595107163
0.0,0.07,0.93,0.04400073505255226,0.1870948113048552,0.23517880985409467
0.0,0.08,0.92,0.04381853833889236,0.1852865247747394,0.2364906913342155
0.0,0.09,0.91,0.04363634162523247,0.183493754601875,0.2378083206151071
0.0,0.1,0.9,0.04345414491157258,0.18171696002734145,0.23913092594678229
0.0,0.11,0.89,0.043271948197912684,0.17995661425509196,0.24045767018362474
0.0,0.12,0.88,0.04308975148425279,0.17821320471734353,0.24178764728795285
0.0,0.13,0.87,0.0429075547705929,0.1764872333229458,0.24311987877377148
0.0,0.14,0.86,0.04272535805693301,0.17477921668562968,0.2444533101082715
0.0,0.15,0.85,0.042543161343273114,0.1730896863287612,0.245786807091833
0.0,0.16,0.84,0.042360964629613224,0.17141918886293878,0.24711915224078954
0.0,0.17,0.83,0.04217876791595333,0.16976828613247846,0.248449041201012
0.0,0.18,0.82,0.04199657120229344,0.16813755532653182,0.24977507922447148
0.0,0.19,0.81,0.04181437448863355,0.16652758905027815,0.25109577774532554
0.0,0.2,0.8,0.041632177774973654,0.16493899535133089,0.2524095510967214
0.0,0.21,0.79,0.04144998106131377,0.16337239769620399,0.2537147134143877
0.0,0.22,0.78,0.04126778434765387,0.16182843489139728,0.2550094757781511
0.0,0.23,0.77,0.041085587633993975,0.16030776094339308,0.2562919436477057
0.0,0.24,0.76,0.04090339092033409,0.15881104485161346,0.25756011465419515
0.0,0.25,0.75,0.040721194206674194,0.1573389703281758,0.25881187681436074
0.0,0.26,0.74,0.040538997493014296,0.15589223543811365,0.2600450072390394
