SP500,GOLD,IYR
1284.59,1744.45,57.82
1285.09,1742.95,58
1253.3,1715.25,57.24
1218.28,1720.3,55.31
1237.9,1737,56.43
1261.15,1763.15,57.07
1253.23,1754.15,56.64
1261.12,1795.86,56.78
1275.92,1785,57.46
1229.1,1772.24,54.88
1239.69,1759.2,54.93
1263.85,1788.99,56.35
1251.78,1781,55.22
1257.81,1781.4,55.7
1236.91,1762.35,55.17
1216.13,1719.1,54.18
1215.65,1723.05,54.57
1192.98,1680.85,53.13
1188.04,1699.2,52.98
1161.79,1693.3,51.42
1158.67,1680.13,51.6
1192.55,1712.3,52.86
1195.19,1716.75,52.71
1246.96,1745.7,55.14
1244.58,1745.25,54.58
1244.28,1745.25,54.67
1257.08,1721.64,55.18
1258.47,1728.2,55.14
1261.01,1742.1,55.66
1234.35,1708.8,54.33
1255.19,1711.1,55.41
1236.47,1666.3,54.42
1225.73,1632.1,53.94
1211.82,1575.1,54.25
1215.75,1570.7,54.99
1219.66,1597.95,55.45
1205.35,1594.1,54.91
1241.3,1615.65,56.57
1243.72,1615.15,56.65
1254,1604.7,56.83
1265.33,1606.6,57.11
1265.43,1592.9,57.24
1249.64,1553,56.62
1263.02,1546.7,57.09
1257.6,1564.3,56.81
1277.06,1604.14,57.16
1277.3,1612.4,56.52
1281.06,1623,56.93
1277.81,1616.85,56.83
1280.7,1611.5,56.67
1292.08,1631.56,57.3
1292.48,1641.8,57.81
1295.5,1650.1,57.43
1289.09,1639.35,57.69
1293.67,1651.74,57.99
1308.04,1661.25,58.36
1314.5,1657.6,58.73
1315.38,1666.9,59.01
1316,1677,59.19
1314.65,1665.2,59.52
1326.05,1711.9,60.28
1318.43,1721.5,60.63
1316.33,1738.89,60.78
1313.01,1730.05,60.25
1312.41,1739.43,60.56
1324.09,1743.6,61.01
1325.54,1759.99,61.14
1344.9,1725.3,62.02
1344.33,1720.3,61.72
1347.05,1746.5,61.67
1349.96,1733.55,61.71
1351.95,1729.6,61.26
1342.64,1719.85,60.75
1351.77,1722.5,61.44
1350.5,1720.1,60.83
1343.23,1729.01,60.53
1358.04,1728.7,61.03
1361.23,1722.45,61.13
1362.21,1759.15,60.37
1357.66,1777.55,59.88
1363.46,1780.1,60.58
1365.74,1773.49,60.75
1367.59,1766.3,60.68
1372.18,1785.85,60.22
1365.68,1695.2,60.14
1374.09,1716.55,60.46
1369.63,1712.3,60.44
1364.33,1706.7,60.93
1343.36,1674,60.11
1352.63,1684.95,60.37
1365.91,1700.65,60.23
1370.87,1713.09,60.51
1371.09,1700.53,60.93
1395.95,1675.5,62.02
1394.28,1643.6,61.87
1402.6,1658.23,61.83
1404.17,1660.65,62.2
1409.75,1664.55,62.57
1405.52,1650.35,62.42
1402.89,1650.5,62.28
1392.78,1644.85,61.54
1397.11,1662.26,61.79
1416.51,1689.98,61.89
1412.52,1680.05,61.86
1405.54,1662.18,61.72
1403.28,1661.38,61.78
1408.47,1668.9,62.3
1419.04,1677.75,62.7
1413.38,1645.33,62.41
1398.96,1620.23,61.78
1398.08,1631.25,61.51
1382.2,1641.28,60.92
1358.59,1660.35,59.74
1368.71,1657.95,60.45
1387.57,1675.48,61.31
1370.26,1659,60.99
1369.57,1652.1,61.7
1390.78,1649.9,62.23
1385.14,1642.07,61.9
1376.92,1643.6,61.87
1378.53,1642.7,62.52
1366.94,1638.7,61.94
1371.97,1641,62.73
1390.69,1644.7,63.42
1399.98,1656.9,63.69
1403.36,1662.05,64
1397.91,1664.36,63.91
1405.82,1662.1,64.47
1402.31,1653.5,64.37
1391.57,1635.76,64.15
1369.1,1642.83,63.66
1369.58,1639.15,64.02
1363.72,1605,63.96
1354.58,1589.34,63.81
1357.99,1593.66,63.75
1353.39,1580.05,64.02
1338.35,1556.85,63.24
1330.66,1544.45,62.93
1324.8,1540.05,62.16
1304.86,1574,60.44
1295.22,1593.09,59.82
1315.99,1592.65,61.05
1316.63,1568.95,61.18
1318.86,1562,61.44
1320.68,1559,61.63
1317.82,1573.45,61.45
1332.42,1555.75,62.29
1313.32,1562.45,60.84
1310.33,1560.7,61.22
1278.04,1626.25,59.67
1278.18,1618.4,59.25
1285.5,1617.1,60.42
1315.13,1620.4,61.71
1314.99,1589,61.41
1325.66,1594.45,62.18
1308.93,1596.45,60.96
1324.18,1610.05,61.53
1314.88,1618.35,61.24
1329.1,1623.32,62.07
1342.84,1626.76,62.46
1344.78,1628.4,62.95
1357.98,1618.07,62.69
1355.69,1605.9,62.61
1325.51,1565.3,61.63
1335.02,1572.15,61.68
1313.72,1584.6,61.34
1319.99,1572.15,61.61
1331.85,1574.3,62
1329.04,1551.9,62.52
1362.16,1598.6,63.94
1365.51,1596.35,64.62
1374.02,1616.65,64.98
1367.58,1604.75,64.68
1354.68,1582.9,64.77
1352.46,1587.15,64.9
1341.47,1566.5,64.13
1341.45,1576.9,64.23
1334.76,1572.4,64.51
1356.78,1589.05,65.21
1353.64,1589.35,65.46
1363.67,1582.75,66.01
1372.78,1573.8,65.5
1376.51,1582.05,64.95
1362.66,1583.63,64.73
1350.52,1576.9,64.34
1338.31,1580.5,64.08
1337.89,1605.38,64.07
1360.02,1616.2,64.59
1385.97,1623.28,65.32
1385.3,1621.1,65.5
1379.32,1613.9,65.43
1375.14,1599.2,65.24
1365,1590.35,65.31
1390.99,1604.3,65.79
1394.23,1611,65.6
1401.35,1611.18,64.92
1402.22,1611.9,64.53
1402.8,1617.7,64.34
1405.87,1620.05,64.48
1404.11,1610.15,64.46
1403.93,1598.65,64.43
1405.53,1603.38,64.61
1415.51,1614.8,65.08
1418.16,1615.8,65.05
1418.13,1620.7,65
1413.17,1638.5,65
1413.49,1654,64.94
1402.08,1670.65,64.77
1411.13,1670.35,65.02
1410.44,1664.1,65.16
1409.3,1667.03,65.42
1410.49,1656.55,65.44
1399.48,1656.15,65.37
1406.58,1691.15,65.63
1404.94,1696.4,65.96
1403.44,1693.65,65.92
1432.12,1701.65,66.44
1437.92,1736.5,66.56
1429.08,1725.8,66.13
1433.56,1731.75,66.39
1436.56,1731.5,66.64
1459.99,1766.9,67.45
1465.77,1772.48,67.8
1461.19,1761.45,67.48
1459.32,1770.95,66.9
1461.05,1769.8,66.59
1460.26,1766.7,65.81
1460.15,1773.05,65.79
1456.89,1764.15,65.72
1441.59,1760.65,64.24
1433.32,1752.2,64.18
1447.15,1777.9,64.53
1440.67,1771.22,64.38
1444.49,1774.4,63.92
1445.75,1778,64.46
1450.99,1779.15,64.65
1461.4,1790.55,64.41
1460.93,1780.98,64.69
1455.88,1774.9,64.42
1441.48,1764.15,64.14
1432.56,1762.55,64.22
1432.84,1768.8,64.23
1428.59,1754.25,63.95
1440.13,1736.1,64.38
1454.92,1747.8,64.68
1460.91,1750.3,64.78
1457.34,1741.7,65.39
1433.19,1720.9,64.78
1433.82,1729.45,64.55
1413.11,1708.7,63.9
1408.75,1702.43,63.94
1412.97,1711.8,63.66
1411.94,1711.35,63.29
